forum_topic_id,forum_topic_url,forum_topic_name,forum_topic_author,forum_topic_time,forum_locate_id,forum_topic_text
k524968,https://www.tripadvisor.com/ShowTopic-g186338-i17-k524968-Trip_Reports_Collection_Please_post_here-London_England.html,[u'\nTrip Reports Collection - Please post here\n'],[u'offtolondon'],"[u'Mar 22, 2006, 10:12 AM']",g186338,"[u""For everyone's convenience and reading pleasure, please post links to all your trip reports (past, present, and future) here on this thread. If you also have pictures posted somewhere on the Net, include those links as well."", u'Without further adieu, on with the show!']"
k9432736,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9432736-Oyster_card_for_15_year_old_son-London_England.html,[u'\noyster card for 15 year old son.\n'],[u'migro11'],"[u'Apr 13, 2016, 4:59 AM']",g186338,"[u'Hi ,', u'coming with my son to London this weekend.', u""i'd like to know if he can travel in the city with a discounted card for kids."", u'and please , if the anwser is positive , how to buy it ? do he needs a photograph?', u'we are comimg only for 4 days.', u'i will have an regular oyster for me.', u'thanks a lot!']"
k9428158,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9428158-Travelling_around_london-London_England.html,[u'\ntravelling around london\n'],[u'lindyl0u41'],"[u'Apr 11, 2016, 2:20 PM']",g186338,"[u'hi there, will be making a trip to london 3rd to 5th june, staying in travelodge southwark, can anyone tell me how i would go about joining the big bus tour from here, where is the nearest stop i can get on? Does the red tour bus stop at baker street? where do you get the maps for the tours? and if anyone has any info at all they would like to offer me i would be grateful, getting very anxious trying to book this trip, will be travelling with 2 teenage daughters. thanks']"
k9432578,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9432578-London_in_August-London_England.html,[u'\nLondon in August\n'],[u'traveldiaries22'],"[u'Apr 13, 2016, 3:28 AM']",g186338,"[u'Hi Folks,', u'Planning a short trip to London this August.', u""We're looking at 5 days - would that be enough? "", u'Also looking at a day to visit Old Trafford so would appreciate if you guys can help me understand the best way to get to ', u' from London.', u'Thank you in advance.']"
k9432787,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9432787-Sunday_Free_Car_Parking_near_to_Hyde_Park-London_England.html,[u'\nSunday Free Car Parking near to Hyde Park ?\n'],[u'jerryxu2015'],"[u'Apr 13, 2016, 5:25 AM']",g186338,"[u'Hi,', u'Is there any free parking space near hyde park or albert hall for Sunday? My daughter and I are going to a concert in Albert hall this Sunday, and any free or cheap parking spaces will be a great help.', u'Many Thanks']"
k9432940,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9432940-Alone_in_London_in_May-London_England.html,[u'\nAlone in London in May?\n'],[u'oslogirl285'],"[u'Apr 13, 2016, 6:43 AM']",g186338,"[u'I am traveling to London on a long weekend May 12 to 15, by myself, anyone else in the same situation? Was thinking it might be nice to meet up one night for dinner, drinks, etc.?', u'I am a female from ', u', 35 years old, who thinks its always nice to meet new people from other countries :)', u'Also: any advice for fun things to do alone in the evenings? Its easy to fill the daytime, but at nighttime I need advice :)']"
k9426995,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9426995-30th_Birthday_Meal_Central_London-London_England.html,[u'\n30th Birthday Meal Central London\n'],[u'Gem1207'],"[u'Apr 11, 2016, 7:33 AM']",g186338,"[u'Hello', u'I am organising a surprise birthday meal for my friend and there will be about 10 of us. I want to take her somewhere with good food and most importantly, a really fun atmosphere (it will be a Wednesday!).', u""I did think about Circus so somewhere a bit like that but I don't really want people spending more than about \xa316 for a main."", u'Was thinking maybe Steam and Rye??', u""Does anyone have any ideas? Don't mind cuisine, just has to be central soho type area and fun! Would be great if I could find somewhere that let me bring balloons etc."", u'Thanks!']"
k9432374,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9432374-5_hours_at_Heathrow_is_there_a_Poundland_near_enough-London_England.html,"[u'\n5 hours at Heathrow, is there a Poundland near enough?\n']",[u'Jackie G'],"[u'Apr 13, 2016, 12:36 AM']",g186338,"[u""I will have a 5 hour layover in early August. I'm disappointed to learn that is not enough time for any sight seeing, but could I have enough time to go to A discount store like pound land or a supermarket? Just to get out of the airport and say I've shopped? Lol""]"
k9431054,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9431054-Embankment_to_Tower_Hill-London_England.html,[u'\nEmbankment to Tower Hill\n'],[u'Pat D'],"[u'Apr 12, 2016, 1:33 PM']",g186338,[u'is it circle or district line (north) or which direction from Embankment to Tower Hill. Thanks']
k9398745,https://www.tripadvisor.com/ShowTopic-g186338-i17-k9398745-TALF_pub_meet_Wednesday_April_13th_The_Details-London_England.html,[u'\nTALF pub meet Wednesday April 13th - The Details\n'],[u'adamhornets'],"[u'Apr 01, 2016, 10:02 AM']",g186338,"[u'A new month and a new pub for our next TALF meet. It was suggested to me by a couple of people and I think the location will be handy for a lot of folk.', u'Here are the details:', u'The Knights Templar, 95 Chancery Lane, London WC2A 1DT from 7.00pm', u""It's a Wetherspoon pub so expect a large pub with a good beer choice and reasonable food. Look for the TALF sign. Nearest tube stations will be Chancery Lane (Central line) and Temple (Circle & District line)."", u'For those who enjoy trivia the pub is across the street from the office where my late father worked for over 30 years.', u'I know Foslo and Alison78 should be joining us and if you too would also like to come along to enjoy a drink and some good company with like minded travellers then you will be made most welcome. It would help if you could post below if you are planning on joining us so we can try to grab a suitably large table.']"
