user_name,user_registerDate,user_ageSex,user_Position,user_ReviewCnt,user_ForumPostCnt,user_tags,user_Point
[u'oslogirl285'],[u'Since Nov 2009'],[],"[u'Oslo, Norway']",[u'4 Reviews '],[u'83 Forum Posts '],[u'Beach Goer '],"[u' 2,067 ']"
[u'jerryxu2015'],[u'Since Apr 2015'],[],"[u'Southampton, United Kingdom']",[u'1 Review '],[u'2 Forum Posts '],[],[u' 140 ']
[u'lindyl0u41'],[u'Since Feb 2015'],[u' 35-49 year old female '],"[u'Belfast, United Kingdom']",[u'1 Review '],[u'4 Forum Posts '],[],[u' 420 ']
[u'PaulShill'],[u'Since Mar 2009'],[u' 25-34 year old male '],"[u'Newcastle, United Kingdom']",[u'2 Reviews '],[u'6 Forum Posts '],"[u'Backpacker ', u'Nightlife Seeker ', u'Art and Architecture Lover ']",[u' 357 ']
[u'Jackie G'],[u'Since this month'],[],"[u'Ardmore, Oklahoma']",[],[u'3 Forum Posts '],"[u'History Buff ', u'Thrifty Traveler ', u'Family Vacationer ']",[u' 60 ']
[u'Pat D'],[u'Since Aug 2007'],[u' 50-64 year old female '],[u'yorkshire'],[u'205 Reviews '],"[u'1,858 Forum Posts ']","[u'Foodie ', u'Beach Goer ', u'Like a Local ', u'History Buff ', u'Nature Lover ', u'Shopping Fanatic ', u'Family Vacationer ', u'Peace and Quiet Seeker ', u'Art and Architecture Lover ']","[u' 82,627 ']"
[u'migro11'],[u'Since Feb 2010'],[u' 35-49 year old male '],"[u'Newcastle, United Kingdom']",[u'5 Reviews '],[u'48 Forum Posts '],[u'Luxury Traveler '],"[u' 1,604 ']"
[u'FruGlo'],[u'Since Sep 2004'],[u' 35-49 year old female '],"[u'Fort Lauderdale, Florida']",[u'99 Reviews '],[u'368 Forum Posts '],"[u'Trendsetter ', u'Thrifty Traveler ', u'Shopping Fanatic ']","[u' 17,900 ']"
[u'MrsT12_Aus'],[u'Since Feb 2011'],[u' Female '],[u'Australia'],[u'10 Reviews '],[u'69 Forum Posts '],"[u'Nature Lover ', u'History Buff ', u'Thrifty Traveler ', u'Family Vacationer ']","[u' 2,417 ']"
[u'traveldiaries22'],[u'Since Apr 2015'],[u' 25-34 year old female '],"[u'Singapore, Singapore']",[u'12 Reviews '],[u'3 Forum Posts '],"[u'Foodie ', u'Vegetarian ', u'Beach Goer ', u'Nature Lover ', u'Thrill Seeker ', u'Luxury Traveler ', u'Nightlife Seeker ', u'Peace and Quiet Seeker ']","[u' 1,419 ']"
[u'theartgirl'],[u'Since Aug 2005'],[u' Female '],"[u'Los Angeles, California']",[u'32 Reviews '],"[u'5,930 Forum Posts ']",[],"[u' 121,978 ']"
[u'5citiespatty'],[u'Since Feb 2005'],[],"[u'central coast, california']",[],[u'441 Forum Posts '],"[u'Like a Local ', u'60+ Traveler ', u'Thrifty Traveler ']","[u' 8,820 ']"
[u'adamhornets'],[u'Since Oct 2004'],[u' 50-64 year old male '],[u'Watford'],[u'33 Reviews '],"[u'37,950 Forum Posts ']",[],"[u' 762,702 ']"
[u'Nicki F'],[u'Since this week'],[],"[u'New York City, New York']",[],[u'2 Forum Posts '],[],[u' 40 ']
[u'lzkl'],[u'Since Mar 2010'],[],[u'sg'],[],[u'90 Forum Posts '],[u'Beach Goer '],"[u' 1,800 ']"
[u'Loneraider65'],[u'Since Jul 2011'],[],"[u'Fish Hoek, South Africa']",[u'51 Reviews '],[u'1 Forum Post '],[],"[u' 5,206 ']"
[u'railtraveller65'],[u'Since Jul 2008'],[u' 65+ year old male '],"[u'London, UK']",[u'211 Reviews '],"[u'7,040 Forum Posts ']","[u'60+ Traveler ', u'History Buff ', u'Urban Explorer ']","[u' 161,978 ']"
[u'Michele D'],[u'Since Apr 2013'],[u' Female '],"[u'Seattle, Washington']",[u'2 Reviews '],[u'28 Forum Posts '],[u'Family Vacationer '],[u' 762 ']
[u'offtolondon'],[u'Since Jan 2004'],[u' 35-49 year old female '],"[u'Washington DC, District of Columbia']",[u'30 Reviews '],"[u'5,456 Forum Posts ']","[u'Urban Explorer ', u'Peace and Quiet Seeker ', u'Art and Architecture Lover ']","[u' 114,013 ']"
