forum_topiwc_id,forum_topic_url,forum_topic_name,forum_topic_author,forum_topic_time,forum_locate_id,forum_topic_text
k524968,https://www.tripadvisor.com/ShowTopic-g186338-i17-k524968-Trip_Reports_Collection_Please_post_here-London_England.html,[u'\nTrip Reports Collection - Please post here\n'],[u'offtolondon'],"[u'Mar 22, 2006, 10:12 AM']",g186338,"[u""For everyone's convenience and reading pleasure, please post links to all your trip reports (past, present, and future) here on this thread. If you also have pictures posted somewhere on the Net, include those links as well."", u'Without further adieu, on with the show!']"
k10344471,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10344471-Oyster_card_vs_Travelcard_and_Cash-London_England.html,[u'\nOyster card vs Travelcard and Cash\n'],[u'h3kamal_9'],"[u'Mar 28, 2017, 1:09 AM']",g186338,"[u'A table wich compare Cash, Oyster card and Travelcard']"
k10342477,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10342477-Itinerary_feedback_for_late_Sept_trip_with_11_yo_daughter-London_England.html,[u'\nItinerary feedback for late Sept trip with 11 yo daughter\n'],[u'SouthShoreLife'],"[u'Mar 27, 2017, 10:47 AM']",g186338,"[u'Hello, I would appreciate any feedback on our itinerary (first draft!). I will be traveling with my 11 yo daughter. I am trying to keep a good balance of activities, with not too much in one day to exhaust either one of us. Thank you for your advice!', u'Day 1 - Saturday ', u'AM - Arrive Heathrow 8:00 - check into hotel (Westminster area)/drop off luggage - get something to eat', u""PM - Something to beat jet lag! Possibly HOHO bus, guided tour by London Walks (Kensington at 14:00 but I don't know if that's realistic), walk along the South Bank"", u'Day 2 - Sunday ', u'AM - Buckingham Palace State Rooms tour (9:30) and Royal Mews', u""PM - Afternoon Tea at Claridge's? (if able to get a reservation) If it's a nice day, perhaps a stroll through Green Park or St. James's Park."", u'Day 3 - Monday', u'AM - Tower of London', u'PM - ?', u'Day 4 - Tuesday', u'AM/PM - Hampton Court Palace', u'Day 5 - Wednesday', u'AM - Westminster Abbey at opening, sign up for Verger tour ', u'PM - ? ', u' ', u'Day 6 - Thursday', u'AM - Museum of London ', u""PM - St Paul's for tour, stay for Evensong at 5pm"", u'Day 7 - Friday ', u'AM - Backstage tour at the National Theatre (my daughter is a big fan of drama/theater...heard this was an interesting tour?) - 75 mins.', u'PM - Covent Garden', u'Day 8 - Saturday', u'AM/PM - Warner Bros. Harry Potter Studio Tour (10am time slot) - is it a good ""strategy"" to visit here on a Saturday? I am assuming that Saturdays are the most crowded day of the week at most tourist attractions, so I figured it would be best to go to an attraction with a timed ticket on a Saturday....and visit the others (ToL, Westminster Abbey, etc.) during the week. ', u'Day 9 - Sunday ', u'AM - ?', u'PM - ?', u'Departure - evening flight (19:00)', u""Other things on our wish list are (but I know it's not feasible to squeeze them all in): a theater show one evening, Shakespeare's Globe (my daughter performed in a Shakespeare parody so she is very interested in seeing this- is this a good tour for kids? or just do a walk-by?), Fortnum & Mason, "", u', Borough Market (or other market), V&A museum (my daughter and I would love to see some of the fashion exhibits). Other suggestions welcome!', u'Thank you!']"
k10343733,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10343733-Transportation_Question-London_England.html,[u'\nTransportation Question\n'],[u'Eavabug'],"[u'Mar 27, 2017, 5:37 PM']",g186338,"[u'We are a family of four traveling to the UK for a few days in May. We will be flying into Gatwick from ', u"" on a Weds. We plan to rent a car and drive to the Cotswold's. We will spend two days there and then head into London for most of the day Friday and Saturday before we fly out of Luton Sunday morning. I would like some advise on what I currently have planned. Is there an easier way to do the following?"", u'Arrive in Gatwick on weds', u'Rent car and drive to the ', u'. Spending two nights', u'Return rental car to Heathrow and take the Tube into London.', u'Spending Friday and Saturday seeing touristy stuff', u'Saturday evening take the train from Kings Cross to Luton Airport to catch our 6am flight on Sunday. ', u'I realize that traveling from both Gatwick and ', u' airport is taking a chunk of our time up but it was the only way to get to London cheaply that worked with the days we had available. Its not our first time to London so we are not overly worried about not having enough time in the city. Any advice would be appreciated', u'Thanks', u'Eava']"
k10344277,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10344277-Travelling_on_the_tube_from_Heathrow_with_a_toddler-London_England.html,[u'\nTravelling on the tube from Heathrow with a toddler\n'],[u'channyb'],"[u'Mar 27, 2017, 10:35 PM']",g186338,"[u'Hi everyone,', u'We will be arriving into Heathrow from Singapore at 3:30pm on a Saturday in September and just wondering if the tube is still our best option to get into London?', u'This will be hubby and my second trip to London. We used the tube on our first trip from the airport and it was great but I do remember it was quite a bit crowded with travellers and their luggage - which was fine at the time as we each only had a small backpack and could move it easily when needed.', u'This time we will have a 15 month old, two small suitcases, a small carry on bag, a small collapsable pusher and mother in law (who has never travelled O/S before = wide eyed and easily flustered) in tow. ', u'We are staying near Gloucester Rd stn so it makes sense, but just wondering if there something I might not have thought about?']"
k10344104,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10344104-Time_change_issue_Daylight_Savings_issue-London_England.html,[u'\nTime change issue? Daylight Savings issue?\n'],[u'Capecodbeachfront'],"[u'Mar 27, 2017, 8:59 PM']",g186338,"[u'I am sure someone here will have the answer...', u'I recently had a flight change imposed on me by United...', u'Not a huge change but enough to be annoying.', u'BUT when I printed out the flight info I noticed a significant flight time difference?', u'Previous flight had been EWR to LHR 7 hour 20 minutes ', u'Depart EWR 7:20 PM Arrive LHR 7:40 AM ', u'New Flight time EWR to LHR 8 hour 20 minutes ?', u'Depart EWR 6:35 PM Arrive LHR 6:55 AM', u'I am confused? Total flight time seems constant at 12 hr 20 minute?', u'BUT the listed flight time has been increased by 1 hour?', u'Is this a time change issue... Maybe Daylight savings time ?', u'Maybe just a simple error on the ""Schedule Change Noification"" notice?', u'Flight is at the end of May if that makes a difference?', u'My back up plan is to simply flight check current UA 29 flight?', u'Just curious about the discrepancy...', u'Thank you.']"
k10343029,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10343029-Simpson_s_on_the_Strand_Alternative-London_England.html,"[u""\nSimpson's on the Strand Alternative?\n""]",[u'twocoasts'],"[u'Mar 27, 2017, 1:37 PM']",g186338,"[u""I am bringing friends to London in May for the Chelsea Flower Show and had my heart set on taking them to Simpson's for a traditional Sunday roast. I love the tradition there."", u""Sadly, they are rennovating the dining room begining April and will be closed. Can anyone suggest an alternative? I know Hawksmoor does a Sunday roast but I'm looking for something a bit more upscale."", u'Thank you in advance!']"
k10342927,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10342927-How_much_time_to_allow_for_Check_in_at_Gatwick_Airport-London_England.html,[u'\nHow much time to allow for Check-in at Gatwick Airport\n'],[u'Kim W'],"[u'Mar 27, 2017, 1:06 PM']",g186338,"[u'Our flight home to ', u' at the end of our vacation to Great Britain this June departs from London Gatwick at 11:25 AM on a Tuesday morning. Based on your experiences, what time do you all think we should plan to be at the airport to check-in for our international flight? (I am about to buy my train tickets)', u'Thanks in advance.']"
k10344323,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10344323-Where_to_buy_a_fascinator_hat-London_England.html,[u'\nWhere to buy a fascinator hat?\n'],[],"[u'Mar 27, 2017, 10:57 PM']",g186338,"[u'-:- Message from TripAdvisor staff -:-', u'This post was determined to be inappropriate by the TripAdvisor community and has been removed.', u'To review the TripAdvisor Forums Posting Guidelines, please follow this link: ', u'Our staff may also remove posts that do not follow our posting guidelines, and we reserve the right to remove any post for any reason. Thanks for being a part of the TripAdvisor travel community!']"
k10344543,https://www.tripadvisor.com/ShowTopic-g186338-i17-k10344543-London_city_with_toddler-London_England.html,[u'\nLondon city with toddler\n'],[u'phooifun'],"[u'Mar 28, 2017, 2:01 AM']",g186338,"[u'Hi, I will be traveling to London next month with my husband and 21 month old baby. My husband has a congress to attend for 2-3 days. I am in my early 30s, will be 5 month pregnant and my son will be 21 month old next month. We are staying near Victoria station. My question is: is the hotel convenient for me to bring my son around by myself alone? Are most of the stations in london city major tourist spots with elevator? I am bringing a stroller to bring my son around by myself when my husband is attending congress. Possible for me to bring my son to major tourist spots in the city like london eye, London bridge, Buckingham palace, Hyde park etc? Any suggestion for my itenary that is convenient n suitable for me to bring my toddler around? Thanks']"
