user_name,user_registerDate,user_ageSex,user_Position,user_ReviewCnt,user_ForumPostCnt,user_tags,user_Point
[u'offtolondon'],[u'Since Jan 2004'],[u' 35-49 year old female '],"[u'Washington DC, District of Columbia']",[u'30 Reviews '],"[u'5,456 Forum Posts ']","[u'Urban Explorer ', u'Peace and Quiet Seeker ', u'Art and Architecture Lover ']","[u' 114,014 ']"
[u'h3kamal_9'],[u'Since Aug 2008'],[u' 35-49 year old male '],[u'kuwait'],[u'29 Reviews '],[u'7 Forum Posts '],[],"[u' 6,695 ']"
[u'SouthShoreLife'],[u'Since Dec 2015'],[],"[u'Boston, Massachusetts']",[u'23 Reviews '],[u'32 Forum Posts '],"[u'Beach Goer ', u'Luxury Traveler ', u'Family Vacationer ']","[u' 3,123 ']"
[u'Kim W'],[u'Since Sep 2004'],[u' 50-64 year old female '],"[u'Elk Grove, California']",[u'2 Reviews '],[u'550 Forum Posts '],"[u'Foodie ', u'Nature Lover ', u'Like a Local ']","[u' 11,624 ']"
[u'twocoasts'],[u'Since Feb 2004'],[u' 35-49 year old female '],"[u'Alexandria, VA USA']",[u'73 Reviews '],[u'584 Forum Posts '],"[u'Foodie ', u'Beach Goer ', u'History Buff ', u'Like a Local ', u'Nature Lover ', u'Luxury Traveler ', u'Peace and Quiet Seeker ']","[u' 19,298 ']"
[u'channyb'],[u'Since Aug 2010'],[],"[u'Melbourne, Australia']",[u'3 Reviews '],[u'48 Forum Posts '],[],"[u' 1,510 ']"
[u'Capecodbeachfront'],[u'Since Feb 2005'],[u' 50-64 year old male '],[],[u'12 Reviews '],[u'489 Forum Posts '],"[u'60+ Traveler ', u'Peace and Quiet Seeker ']","[u' 11,475 ']"
[u'phooifun'],[u'Since Nov 2010'],[],"[u'Kuala Lumpur, Malaysia']",[u'7 Reviews '],[u'69 Forum Posts '],[],"[u' 2,463 ']"
[u'raghupalat'],[u'Since Apr 2008'],[u' 65+ year old male '],"[u'Mumbai (Bombay), India']",[u'245 Reviews '],[u'87 Forum Posts '],"[u'Foodie ', u'Beach Goer ', u'History Buff ', u'60+ Traveler ', u'Luxury Traveler ', u'Art and Architecture Lover ']","[u' 27,782 ']"
[u'Eavabug'],[u'Since May 2009'],[u' 35-49 year old female '],[u'Nor Cal'],[u'89 Reviews '],[u'128 Forum Posts '],"[u'Like a Local ', u'Thrifty Traveler ', u'Family Vacationer ']","[u' 14,469 ']"
[u'Tiggerific85'],[u'Since Jul 2014'],[u' 25-34 year old female '],"[u'Scotland, United Kingdom']",[u'10 Reviews '],[u'130 Forum Posts '],"[u'Foodie ', u'Beach Goer ', u'Thrill Seeker ', u'Luxury Traveler ', u'Shopping Fanatic ', u'Family Vacationer ', u'Peace and Quiet Seeker ']","[u' 3,743 ']"
[u'doofus1'],[u'Since Sep 2005'],[u' 65+ year old male '],[],[u'26 Reviews '],"[u'1,467 Forum Posts ']",[u'60+ Traveler '],"[u' 32,099 ']"
[u'Joann F'],[u'Since Oct 2012'],[],[],[u'1 Review '],[u'5 Forum Posts '],"[u'Foodie ', u'History Buff ', u'Urban Explorer ', u'Art and Architecture Lover ']",[u' 200 ']
[u'jamesholder11'],[u'Since today'],[],"[u'Port of Spain, Trinidad']",[],[u'1 Forum Post '],[],[u' 20 ']
[u'adamhornets'],[u'Since Oct 2004'],[u' 50-64 year old male '],[u'Watford'],[u'44 Reviews '],"[u'40,246 Forum Posts ']",[],"[u' 809,755 ']"
[u'Oateoateo'],[u'Since Oct 2010'],[],"[u'Atlanta, Georgia']",[],[u'37 Forum Posts '],[],[u' 740 ']
[u'wells67'],[u'Since Jul 2006'],[u' 35-49 year old female '],"[u'Adelaide, Australia']",[u'32 Reviews '],"[u'1,040 Forum Posts ']","[u'Like a Local ', u'Urban Explorer ', u'Family Vacationer ']","[u' 25,123 ']"
[u'theartgirl'],[u'Since Aug 2005'],[u' Female '],"[u'Nice, France']",[u'42 Reviews '],"[u'6,109 Forum Posts ']",[],"[u' 126,622 ']"
